FID,the_geom,bh_id,completion,type,country,lat,long,location,elevation,aquifer,depth_m,yield_m3_h,strike_m,tds_mg_l,samdate_td,so4_mg_l,samdate_so,NO3_mg_l,samdate_NO,f_mg_l,samdate_f,t_m2_d,ec_ms_m,samdate_ec,wl_mbgl,samdate_wl,delta_D,samdate_de,delta_O,samdate__1,tritium_T,plus_minus,samdate_T,_14C,plus_min_1,samdate_14,MRT_years
stasboreholes.733,POINT (19.08261 -23.74745),2947,1949,-9999.99,NAMIBIA,-23.74745,19.08261,L0608/Rem,1255,AUOB,-9999.99,-9999.99,-9999.99,562,2/6/2000,38,2/6/2000,0,2/6/2000,0.9,2/6/2000,-9999.99,-9999.99,-9999.99,-9999.99,2/6/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.734,POINT (19.18286 -24.22818),NO ID,-9999.99,-9999.99,NAMIBIA,-24.22818,19.18286,R0254/Rem,1170,KALAHARI,-9999.99,-9999.99,-9999.99,562,11/25/1999,101,11/25/1999,2.8,11/25/1999,0.5,11/25/1999,-9999.99,-9999.99,-9999.99,-9999.99,11/25/1999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.735,POINT (18.98401 -23.96023),8051,-9999.99,-9999.99,NAMIBIA,-23.96023,18.98401,R0243,1180,KALAHARI,-9999.99,-9999.99,-9999.99,562,3/31/2000,18,3/31/2000,17,3/31/2000,0.4,3/31/2000,-9999.99,-9999.99,-9999.99,-9999.99,3/31/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.736,POINT (18.81847 -23.3316),1112,-9999.99,-9999.99,NAMIBIA,-23.3316,18.81847,L0023,1200,AUOB,-9999.99,-9999.99,-9999.99,562,2/5/2000,24,2/5/2000,15,2/5/2000,0.6,2/5/2000,-9999.99,-9999.99,-9999.99,-9999.99,2/5/2000,-56,10/19/2000,-7.9,10/19/2000,-9999.99,-9999.99,-9999.99,1.07,0.17,10/19/2000,36640
stasboreholes.737,POINT (18.59368 -24.46448),757,-9999.99,-9999.99,NAMIBIA,-24.46448,18.59368,R0198/A,1163,AUOB,-9999.99,-9999.99,-9999.99,560,4/29/2000,50,4/29/2000,9.1,4/29/2000,0.7,4/29/2000,-9999.99,-9999.99,-9999.99,0.2,4/29/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.738,POINT (18.68303 -24.36877),874,1925,-9999.99,NAMIBIA,-24.36877,18.68303,R0202/001,1170,AUOB,199,47.4,-9999.99,559,11/20/1999,38,11/20/1999,19,11/20/1999,0.7,11/20/1999,-9999.99,89,0,-9999.99,11/20/1999,-9999.99,-9999.99,-5.7,12/1/1978,-9999.99,-9999.99,-9999.99,11.84,0.25,12/1/1978,-9999.99
stasboreholes.739,POINT (18.67966 -24.98348),NO ID,-9999.99,-9999.99,NAMIBIA,-24.98348,18.67966,R0155/Rem,1128,KALAHARI,-9999.99,-9999.99,-9999.99,558,9/22/2000,30,9/22/2000,22.3,9/22/2000,1,9/22/2000,-9999.99,-9999.99,-9999.99,-9999.99,9/22/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.740,POINT (19.56913 -24.18792),3806,-9999.99,-9999.99,NAMIBIA,-24.18792,19.56913,R0549,1175,KALAHARI,-9999.99,-9999.99,-9999.99,558,4/9/2000,70,4/9/2000,0,4/9/2000,0.4,4/9/2000,-9999.99,-9999.99,-9999.99,0,4/9/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.741,POINT (18.33565 -24.27992),33051,-9999.99,-9999.99,NAMIBIA,-24.27992,18.33565,R0120/Rem,1185,KALAHARI,-9999.99,-9999.99,-9999.99,556,4/30/2000,23,4/30/2000,5,4/30/2000,1,4/30/2000,-9999.99,-9999.99,-9999.99,-9999.99,4/30/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.742,POINT (18.5683 -24.58783),32512,-9999.99,-9999.99,NAMIBIA,-24.58783,18.5683,R0199/001,1125,AUOB,-9999.99,-9999.99,-9999.99,553,1/29/2000,42,1/29/2000,9,1/29/2000,0.5,1/29/2000,-9999.99,-9999.99,-9999.99,0,1/29/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.743,POINT (19.51808 -23.87633),NO ID,-9999.99,-9999.99,NAMIBIA,-23.87633,19.51808,R0397/001,1220,AUOB,-9999.99,-9999.99,-9999.99,553,3/15/2000,34,3/15/2000,13.4,3/15/2000,0.4,3/15/2000,-9999.99,-9999.99,-9999.99,-9999.99,3/15/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.744,POINT (18.98668 -23.25415),J1A/39839,-9999.99,MONITORING,NAMIBIA,-23.25415,18.98668,-9999.99,1331,AUOB,256,8,-9999.99,553,7/1/2000,12,7/1/2000,9.8,7/1/2000,0.2,7/1/2000,25.2,85,-9999.99,57.5,7/1/2000,-51,5/14/2000,-7.03,5/14/2000,0,0.2,36660,14.6,0.3,5/14/2000,15040
stasboreholes.745,POINT (18.81434 -24.13138),32582,1943,-9999.99,NAMIBIA,-24.13138,18.81434,R0301/Rem,1196,KALAHARI,21,2.3,-9999.99,553,12/10/1999,40,12/10/1999,25.1,12/10/1999,1,12/10/1999,-9999.99,-9999.99,-9999.99,-9999.99,12/10/1999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.746,POINT (18.66528 -23.96279),32766,-9999.99,-9999.99,NAMIBIA,-23.96279,18.66528,L0568/1,1215,KALAHARI,46,-9999.99,-9999.99,552,11/16/1999,12,11/16/1999,22,11/16/1999,1.3,11/16/1999,-9999.99,-9999.99,-9999.99,-9999.99,11/16/1999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.747,POINT (18.72595 -23.26562),1126,-9999.99,-9999.99,NAMIBIA,-23.26562,18.72595,L0027,1245,NOSSOB,-9999.99,-9999.99,-9999.99,552,1/31/2000,90,1/31/2000,0,1/31/2000,0.7,1/31/2000,-9999.99,-9999.99,-9999.99,-9999.99,1/31/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.748,POINT (19.616551 -23.25518),NO ID,1959,-9999.99,NAMIBIA,-23.25518,19.616551,L 330,1235,NOSSOB,31.4,-9999.99,-9999.99,552,12/8/1999,42,12/8/1999,0,12/8/1999,0.1,12/8/1999,-9999.99,-9999.99,-9999.99,16.73,12/8/1999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.749,POINT (19.616551 -23.25518),NO ID,-9999.99,-9999.99,NAMIBIA,-23.25518,19.616551,L 330,1235,NOSSOB,-9999.99,-9999.99,-9999.99,552,-9999.99,42,-9999.99,0,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.750,POINT (18.70786 -23.69885),192,-9999.99,-9999.99,NAMIBIA,-23.69885,18.70786,L0554,-9999.99,AUOB,1260,-9999.99,-9999.99,551,-9999.99,18,-9999.99,17.5,-9999.99,0.7,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.751,POINT (18.65943 -24.5684),31655,-9999.99,-9999.99,NAMIBIA,-24.5684,18.65943,R0199/004,1154,KALAHARI,-9999.99,-9999.99,-9999.99,550,4/12/2000,7,4/12/2000,20,4/12/2000,0.7,4/12/2000,-9999.99,-9999.99,-9999.99,-9999.99,4/12/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.752,POINT (18.85295 -24.19326),NO ID,-9999.99,-9999.99,NAMIBIA,-24.19326,18.85295,R0303,1181,KALAHARI,-9999.99,-9999.99,-9999.99,550,11/23/1999,29,11/23/1999,36,11/23/1999,0.8,11/23/1999,-9999.99,-9999.99,-9999.99,7.33,11/23/1999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.753,POINT (18.92362 -23.495),10998,-9999.99,-9999.99,NAMIBIA,-23.495,18.92362,L0621,1285,NOSSOB,-9999.99,-9999.99,-9999.99,550,11/22/1999,61,11/22/1999,1,11/22/1999,0.1,11/22/1999,-9999.99,-9999.99,-9999.99,-9999.99,11/22/1999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.754,POINT (18.92362 -23.495),10998,-9999.99,-9999.99,NAMIBIA,-23.495,18.92362,L0621,1285,NOSSOB,-9999.99,-9999.99,-9999.99,550,-9999.99,61,-9999.99,1,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.755,POINT (20.67694 -26.18111),A514,-9999.99,BOREHOLE,SOUTH AFRICA,-26.18111,20.67694,-9999.99,920,KALAHARI,85,-9999.99,-9999.99,549,-9999.99,11.1,-9999.99,12.9,-9999.99,1.06,-9999.99,-9999.99,-9999.99,-9999.99,69.17,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.756,POINT (18.60937 -25.47641),1223,-9999.99,-9999.99,NAMIBIA,-25.47641,18.60937,R0294,1102,KALAHARI,70,-9999.99,-9999.99,544,9/18/2000,43,9/18/2000,4.1,9/18/2000,0.4,9/18/2000,-9999.99,-9999.99,-9999.99,15,9/18/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.757,POINT (19.08083 -23.83026),2969,-9999.99,-9999.99,NAMIBIA,-23.83026,19.08083,L0605,1235,KALAHARI,-9999.99,-9999.99,-9999.99,543,2/6/2000,42,2/6/2000,7,2/6/2000,0.4,2/6/2000,-9999.99,-9999.99,-9999.99,-9999.99,2/6/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.758,POINT (18.4422 -23.3719),17491,-9999.99,-9999.99,NAMIBIA,-23.3719,18.4422,M0205,1350,KALAHARI,-9999.99,-9999.99,-9999.99,541,-9999.99,42,-9999.99,9.8,-9999.99,1.2,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.759,POINT (19.16624 -23.88616),3919,-9999.99,-9999.99,NAMIBIA,-23.88616,19.16624,L0603/Rem,1235,AUOB,-9999.99,-9999.99,-9999.99,540,3/31/2000,54,3/31/2000,0,3/31/2000,1.2,3/31/2000,-9999.99,-9999.99,-9999.99,-9999.99,3/31/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.760,POINT (20.2525 -23.2813),BH10215,2005,EXPLORATION,BOTSWANA,-23.2813,20.2525,NCOJANE,1262.23,AUOB,250,32,173,538,-9999.99,35,-9999.99,0.4,-9999.99,0.7,-9999.99,40,84,-9999.99,97.91,-9999.99,-52,1/28/2006,-7.7,1/28/2006,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.761,POINT (20.26556 -23.13472),BH8363,1997,-9999.99,BOTSWANA,-23.13472,20.26556,Ncojane,1274,AUOB,181,53,159,538,-9999.99,-9999.99,-9999.99,6.6,-9999.99,0.2,-9999.99,128,8.8,-9999.99,111.02,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.762,POINT (18.48805 -24.41624),NO ID,-9999.99,-9999.99,NAMIBIA,-24.41624,18.48805,R0133,1144,AUOB,-9999.99,-9999.99,-9999.99,536,1/30/2000,27,1/30/2000,19.4,1/30/2000,0.8,1/30/2000,-9999.99,-9999.99,-9999.99,0,1/30/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.763,POINT (18.31083 -24.51358),3620,-9999.99,-9999.99,NAMIBIA,-24.51358,18.31083,R0117/Rem,1204,AUOB,125,-9999.99,-9999.99,535,2/4/2000,32,2/4/2000,11.9,2/4/2000,0.6,2/4/2000,-9999.99,-9999.99,-9999.99,28.5,2/4/2000,-9999.99,-9999.99,-6.3,3/1/1981,-9999.99,-9999.99,-9999.99,8.82,0.25,3/1/1981,-9999.99
stasboreholes.764,POINT (19.47886 -24.2581),8389,-9999.99,-9999.99,NAMIBIA,-24.2581,19.47886,R0551,1165,AUOB,274.5,9,-9999.99,535,12/13/1999,36,12/13/1999,0,12/13/1999,0.5,12/13/1999,-9999.99,-9999.99,-9999.99,79.54,12/13/1999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.765,POINT (18.68773 -23.63088),32500,-9999.99,-9999.99,NAMIBIA,-23.63088,18.68773,L0013/003,1259,KALAHARI,-9999.99,-9999.99,-9999.99,535,11/24/1999,19,11/24/1999,28,11/24/1999,0.7,11/24/1999,-9999.99,-9999.99,-9999.99,-9999.99,11/24/1999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.766,POINT (18.85255 -23.70992),702,-9999.99,-9999.99,NAMIBIA,-23.70992,18.85255,L0007/Rem,1220,NOSSOB,-9999.99,-9999.99,-9999.99,534,11/12/1999,32,11/12/1999,0,11/12/1999,0.9,11/12/1999,-9999.99,-9999.99,-9999.99,-9999.99,11/12/1999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.767,POINT (18.85255 -23.70992),702,-9999.99,-9999.99,NAMIBIA,-23.70992,18.85255,L0007/Rem,1220,NOSSOB,-9999.99,-9999.99,-9999.99,534,-9999.99,32,-9999.99,0,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.768,POINT (18.58481 -24.49187),32250,-9999.99,-9999.99,NAMIBIA,-24.49187,18.58481,R0136,1165,AUOB,-9999.99,9,-9999.99,533,11/22/1999,55,11/22/1999,7.9,11/22/1999,0.6,11/22/1999,-9999.99,-9999.99,-9999.99,-9999.99,11/22/1999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.769,POINT (18.85284 -24.19268),NO ID,-9999.99,-9999.99,NAMIBIA,-24.19268,18.85284,R0303,1181,KALAHARI,-9999.99,-9999.99,-9999.99,533,11/23/1999,28,11/23/1999,34.8,11/23/1999,1,11/23/1999,-9999.99,-9999.99,-9999.99,8.2,11/23/1999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.770,POINT (18.88122 -24.25791),NO ID,-9999.99,-9999.99,NAMIBIA,-24.25791,18.88122,R0303,1182,KALAHARI,-9999.99,-9999.99,-9999.99,531,11/23/1999,31,11/23/1999,23.9,11/23/1999,0.9,11/23/1999,-9999.99,-9999.99,-9999.99,-9999.99,11/23/1999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.771,POINT (18.5564 -23.7965),NO ID,-9999.99,-9999.99,NAMIBIA,-23.7965,18.5564,L0700,1242,KALAHARI,-9999.99,-9999.99,-9999.99,531,6/12/2000,10,6/12/2000,27.8,6/12/2000,0.7,6/12/2000,-9999.99,-9999.99,-9999.99,-9999.99,6/12/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.772,POINT (18.45737 -23.41514),18263,-9999.99,-9999.99,NAMIBIA,-23.41514,18.45737,M0205,1342,KALAHARI,50,-9999.99,-9999.99,531,-9999.99,23,-9999.99,13.8,-9999.99,0.6,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.773,POINT (19.2133 -24.23564),NO ID,-9999.99,-9999.99,NAMIBIA,-24.23564,19.2133,R0255/Rem,1125,KALAHARI,67,-9999.99,-9999.99,530,11/30/1999,60,11/30/1999,7.7,11/30/1999,0.5,11/30/1999,-9999.99,-9999.99,-9999.99,60.5,11/30/1999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.774,POINT (18.80378 -23.79509),2570,-9999.99,-9999.99,NAMIBIA,-23.79509,18.80378,L0005/001,1235,KALAHARI,-9999.99,-9999.99,-9999.99,530,11/13/1999,10,11/13/1999,12,11/13/1999,0.7,11/13/1999,-9999.99,-9999.99,-9999.99,-9999.99,11/13/1999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.775,POINT (18.47706 -24.40224),292,-9999.99,-9999.99,NAMIBIA,-24.40224,18.47706,R0133,1145,AUOB,-9999.99,-9999.99,-9999.99,528,1/30/2000,22,1/30/2000,21.2,1/30/2000,0.8,1/30/2000,-9999.99,-9999.99,-9999.99,-9999.99,1/30/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.776,POINT (19.47083 -24.16396),2973,1947,-9999.99,NAMIBIA,-24.16396,19.47083,R0426,1178,AUOB,243,-9999.99,-9999.99,528,4/7/2000,60,4/7/2000,0,4/7/2000,0.5,4/7/2000,-9999.99,-9999.99,-9999.99,0,4/7/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.777,POINT (18.95181 -23.4855),6134,1958,-9999.99,NAMIBIA,-23.4855,18.95181,L0619,1282,AUOB,204,-9999.99,-9999.99,528,11/22/1999,53,11/22/1999,0.3,11/22/1999,0.4,11/22/1999,-9999.99,-9999.99,-9999.99,-9999.99,11/22/1999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.778,POINT (18.8405 -23.70399),NO ID,-9999.99,-9999.99,NAMIBIA,-23.70399,18.8405,L0008,1210,NOSSOB,-9999.99,-9999.99,-9999.99,528,11/13/1999,32,11/13/1999,0,11/13/1999,0.8,11/13/1999,-9999.99,-9999.99,-9999.99,-9999.99,11/13/1999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.779,POINT (18.8405 -23.70399),NO ID,-9999.99,-9999.99,NAMIBIA,-23.70399,18.8405,L0008,1210,NOSSOB,-9999.99,-9999.99,-9999.99,528,-9999.99,32,-9999.99,0,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.780,POINT (18.53678 -24.48578),1288,1927,-9999.99,NAMIBIA,-24.48578,18.53678,R0136,1138,AUOB,108.5,151.5,-9999.99,527,11/22/1999,36,11/22/1999,16.3,11/22/1999,0.6,11/22/1999,-9999.99,-9999.99,-9999.99,0,11/22/1999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.781,POINT (18.48417 -24.41767),NO ID,-9999.99,-9999.99,NAMIBIA,-24.41767,18.48417,R0133,-9999.99,AUOB,-9999.99,-9999.99,-9999.99,527,6/15/2000,18,6/15/2000,20.6,6/15/2000,0.8,6/15/2000,-9999.99,-9999.99,-9999.99,-9999.99,6/15/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.782,POINT (18.86858 -24.0135),32894,1968,-9999.99,NAMIBIA,-24.0135,18.86858,R0319,1218,KALAHARI,43,1.8,-9999.99,527,11/18/1999,2,11/18/1999,26.9,11/18/1999,1.3,11/18/1999,-9999.99,-9999.99,-9999.99,-9999.99,11/18/1999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.783,POINT (18.56088 -24.52787),1436,1927,-9999.99,NAMIBIA,-24.52787,18.56088,R0386/Rem,1136,AUOB,-9999.99,-9999.99,-9999.99,526,1/27/2000,31,1/27/2000,11,1/27/2000,0.5,1/27/2000,-9999.99,-9999.99,-9999.99,0,1/27/2000,-46.6,1/27/2000,-6.15,1/27/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.784,POINT (18.50365 -24.45206),21350A,-9999.99,-9999.99,NAMIBIA,-24.45206,18.50365,R0134,1150,AUOB,-9999.99,-9999.99,-9999.99,526,1/30/2000,32,1/30/2000,22.1,1/30/2000,0.7,1/30/2000,-9999.99,-9999.99,-9999.99,-0.01,1/30/2000,-45.8,1/30/2000,-5.96,1/30/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.785,POINT (18.58266 -24.39568),664,-9999.99,-9999.99,NAMIBIA,-24.39568,18.58266,R0197/Rem,1171,AUOB,-9999.99,-9999.99,-9999.99,526,4/28/2000,43,4/28/2000,10.1,4/28/2000,0.6,4/28/2000,-9999.99,-9999.99,-9999.99,3.81,4/28/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.786,POINT (18.71857 -25.84378),NO ID,-9999.99,-9999.99,NAMIBIA,-25.84378,18.71857,T0182,1081,KALAHARI,43,-9999.99,-9999.99,522,10/17/2000,15,10/17/2000,20.7,10/17/2000,0.7,10/17/2000,-9999.99,-9999.99,-9999.99,-9999.99,10/17/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.787,POINT (18.47625 -24.44944),241,-9999.99,-9999.99,NAMIBIA,-24.44944,18.47625,R0135,1166,AUOB,-9999.99,-9999.99,-9999.99,521,1/29/2000,32,1/29/2000,13.3,1/29/2000,0.8,1/29/2000,-9999.99,-9999.99,-9999.99,-9999.99,1/29/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.788,POINT (18.93039 -24.1039),32925,1942,-9999.99,NAMIBIA,-24.1039,18.93039,R0246,1199,KALAHARI,76,4.5,-9999.99,521,11/24/1999,47,11/24/1999,25.2,11/24/1999,0.7,11/24/1999,-9999.99,-9999.99,-9999.99,-9999.99,11/24/1999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.789,POINT (18.96397 -24.10009),4595,1956,-9999.99,NAMIBIA,-24.10009,18.96397,R0246,1200,KALAHARI,148,3.8,-9999.99,521,11/24/1999,35,11/24/1999,19.3,11/24/1999,0.5,11/24/1999,-9999.99,-9999.99,-9999.99,-9999.99,11/24/1999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.790,POINT (18.72109 -23.73488),15265,-9999.99,-9999.99,NAMIBIA,-23.73488,18.72109,L0555,1256,KALAHARI,-9999.99,-9999.99,-9999.99,521,-9999.99,16,-9999.99,14.1,-9999.99,0.9,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.791,POINT (18.98685 -23.05173),NO ID,-9999.99,-9999.99,NAMIBIA,-23.05173,18.98685,L0497/B,1398,NOSSOB,-9999.99,-9999.99,-9999.99,521,2/16/2000,31,2/16/2000,7,2/16/2000,0.2,2/16/2000,-9999.99,-9999.99,-9999.99,-9999.99,2/16/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.792,POINT (18.98685 -23.05173),NO ID,-9999.99,-9999.99,NAMIBIA,-23.05173,18.98685,L0497/B,1398,NOSSOB,-9999.99,-9999.99,-9999.99,521,-9999.99,31,-9999.99,7,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.793,POINT (19.21258 -23.31617),12907,-9999.99,-9999.99,NAMIBIA,-23.31617,19.21258,L0627/Rem,1291,AUOB,-9999.99,-9999.99,-9999.99,520,2/2/2000,8,2/2/2000,9.5,2/2/2000,0.3,2/2/2000,-9999.99,-9999.99,-9999.99,-9999.99,2/2/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.794,POINT (19.05314 -24.00226),31747,-9999.99,-9999.99,NAMIBIA,-24.00226,19.05314,R0244,1205,KALAHARI,-9999.99,-9999.99,-9999.99,520,3/30/2000,26,3/30/2000,18,3/30/2000,0.5,3/30/2000,-9999.99,-9999.99,-9999.99,-9999.99,3/30/2000,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
